根据您对福建文化的兴趣，我为您设计了一个3天的莆田旅游计划。以下是您的行程安排：

### 第一天：湄洲岛文化体验
- **上午**：
  - **湄洲岛**（建议游玩时间：1天）
    - 湄洲岛是妈祖文化的发源地，您可以在这里参观海上布达拉宫，感受香火旺盛的宗教氛围。
    - 湄洲妈祖祖庙：作为全球2亿多妈祖信众的精神故园，这里可以深入了解妈祖文化。

- **下午**：
  - **妈祖文化园**（建议游玩时间：1小时）
    - 参观妈祖文化馆，进一步了解妈祖文化。

- **晚上**：
  - **湄屿潮音**（建议游玩时间：1小时）
    - 湄屿潮音景区风景如画，是欣赏自然美景和感受文化氛围的好地方。

### 第二天：莆田市区文化探索
- **上午**：
  - **莆田工艺美术城**（建议游玩时间：2-3小时）
    - 探索莆田的工艺美术，从千块到几十万的工艺品都能找到。

- **下午**：
  - **南山广化寺**（建议游玩时间：1小时）
    - 参观整修扩建后的广化寺，感受佛顶尊胜陀罗尼经咒的庄严。
  - **元妙观三清殿**（建议游玩时间：1小时）
    - 参观保存宋代建筑风格的三清殿，体验江南古建之美。

- **晚上**：
  - **莆田市博物馆**（建议游玩时间：0.5天）
    - 在博物馆中了解莆田的历史文化。

### 第三天：自然与历史的结合
- **上午**：
  - **瑞云山森林公园**（建议游玩时间：2-3小时）
    - 感受红色生态旅游区的自然风光。

- **下午**：
  - **南少林寺遗址**（建议游玩时间：1-2小时）
    - 探索南少林寺的历史，了解少林寺与唐太宗的故事。
  - **木兰陂**（建议游玩时间：1-2小时）
    - 参观木兰陂纪念馆，了解其历史意义。

- **晚上**：
  - **绶溪公园**（建议游玩时间：1小时）
    - 在绶溪公园中结束您的莆田之旅，享受宁静的水上公园风光。

这个行程安排充分考虑了您对福建文化的探索需求，结合了历史文化、宗教信仰、自然风光以及工艺美术等多个方面。希望您在莆田的三天旅行中能有一个愉快的体验。
